Question,Answer
how many district are in west bengal,"In 1947, when India gained independence, the state of West Bengal was formed with 14 districts, as per partition plan of the then Bengal province of British India ."
how many towns in new hampshire,This is a list of the 221 towns and 13 cities in the U.S. state of New Hampshire .
what does salesforce.com do?,"Though best known for its customer relationship management (CRM) product, Salesforce has also expanded into the ""social enterprise arena"" through acquisitions."
what does 1 year mean to the planet,"During one orbit around the Sun, the Earth rotates about its own axis 366.26 times, creating 365.26 solar days , or one sidereal year ."
what is feedback mechanism in plants during respiration,"Cellular respiration is the set of the metabolic reactions and processes that take place in the cells of organisms to convert biochemical energy from nutrients into adenosine triphosphate (ATP), and then release waste products."
how fire extinguisher works,"Cartridge-operated extinguishers contain the expellant gas in a separate cartridge that is punctured prior to discharge, exposing the propellant to the extinguishing agent."
what does righteousness mean,"Righteousness (also called rectitude) is an important theological concept in Christianity , Judaism , Islam , Hinduism (dharma), and Zoroastrianism ."
what does righteousness mean,"It is an attribute that implies that a person's actions are justified, and can have the connotation that the person has been ""judged"" or ""reckoned"" as leading a life that is pleasing to the god/s portrayed in these belief systems."
what countries are in central america?,"Central America consists of seven countries: Belize , Costa Rica , El Salvador , Guatemala , Honduras , Nicaragua , and Panama ."
how does a steam engine work,A steam engine is a heat engine that performs mechanical work using steam as its working fluid .
how does a steam engine work,"Steam engines are external combustion engines , where the working fluid is separate from the combustion products."
what county is tacoma washington in,"Tacoma (, ) is a mid-sized urban port city and the county seat of Pierce County, Washington , United States."
what county is chula vista ca in,"As the second largest city in San Diego County , Chula Vista has quickly become a destination popular to many tourists."
what did isaac newton do,Sir Isaac Newton (25 December 1642 20 March 1727) was an English physicist and mathematician who is widely regarded as one of the most influential scientists of all time and as a key figure in the scientific revolution .
what does the universal law of gravitation state,Newton's law of universal gravitation states that every point mass in the universe attracts every other point mass with a force that is directly proportional to the product of their masses and inversely proportional to the square of the distance between them.
how does a dim sum restaurant work,Dim sum () refers to a style of Cantonese food prepared as small bite-sized or individual portions of food traditionally served in small steamer baskets or on small plates.
how does a dim sum restaurant work,"Dim sum is also well known for the unique way it is served in some restaurants, wherein fully cooked and ready-to-serve dim sum dishes are carted around the restaurant for customers to choose their orders while seated at their tables."
how does a dim sum restaurant work,"Eating dim sum at a restaurant is usually known in Cantonese as going to ""drink tea"" ( yum cha , é£²èŒ¶), as tea is typically served with dim sum."
how many US soldiers killed in Iraq war,"A total of 4,486 U.S. soldiers were killed in Iraq between 2003 and 2012."
how many planets is jupiter away from the sun?,Jupiter is the fifth planet from the Sun and the largest planet in the Solar System .
what city was the convention when gerald ford was nominated,"Held in Kemper Arena in Kansas City , Missouri , the convention nominated President Gerald Ford for a full term, but only after narrowly defeating a strong challenge from former California Governor Ronald Reagan ."
how many professional hockey teams in canada,"It started with four teams and, through a series of expansions, contractions, and relocations, the league is now composed of 30 active franchises."
what county is northville mi,Northville is an affluent city located in and divided by Oakland and Wayne counties in the U.S. state of Michigan .
what county is northville mi,"Most of the city is in Oakland County, and is surrounded by the city of Novi ."
how many games did brett favre start in a row,"He has led teams to eight division championships ( 1995 , 1996 , 1997 , 2002 , 2003 , 2004 , 2007 , 2009 ), five NFC Championship Games ( 1995 , 1996 , 1997 , 2007 , 2009 ), and two Super Bowl appearances ( Super Bowl XXXI , Super Bowl XXXII ), winning one (Super Bowl XXXI)."
what does a vote to table a motion mean?,"In the United States, to table usually means the to lay [the topic] on the table or to move for postponement of consideration; a proposal to suspend consideration of a pending motion."
What does the class mean for SDHC cards?,"The four families are the original Standard-Capacity (SDSC), the High-Capacity ( SDHC ), the eXtended-Capacity ( SDXC ), and the SDIO , which combines input/output functions with data storage."
what do porcupines eat,"It eats leaves, herbs, twigs and green plants like skunk cabbage and clover and in the winter it may eat bark."
what did elijah mccoy invent,"Elijah J. McCoy (May 2, 1844 â€“ October 10, 1929) was a black Canadian-American inventor and engineer, who was notable for his 57 U.S. patents , most to do with lubrication of steam engines."
how many apple store are there in total?,", Apple has 405 stores worldwide, with global sales of billion in merchandise in 2011, and they lead the United States retail market in terms of sales per unit area ."
What does the idea of effective nuclear charge tell us,"The term ""effective"" is used because the shielding effect of negatively charged electrons prevents higher orbital electrons from experiencing the full nuclear charge by the repelling effect of inner-layer electrons."
how is jerky made,"Jerky is lean meat that has been trimmed of fat, cut into strips, and then dried to prevent spoilage."
how is jerky made,"Modern manufactured jerky is normally marinated in a seasoned spice rub or liquid, and dried, dehydrated or smoked with low heat (usually under 70 Â°C/160 Â°F)."
what domain is eu,.eu is the country code top-level domain (ccTLD) for the European Union (EU).
"What does the name ""Meister"" mean in German","Meister means master in German (as in master craftsman , or as an honorific title such as Meister Eckhart )."
what happened on the moon during the period of Late Heavy Bombardment?,"During this event a very large number of the impact craters on the Moon would have formed, and by inference on Earth , Mercury , Venus and Mars as well."
How did Edgar Allan Poe die?,"On October 7, 1849, at age 40, Poe died in Baltimore; the cause of his death is unknown and has been variously attributed to alcohol, brain congestion, cholera , drugs, heart disease, rabies , suicide, tuberculosis, and other agents."
what did tycho brahe do,"Tycho Brahe (14 December 154624 October 1601), born Tyge Ottesen Brahe, was a Danish nobleman known for his accurate and comprehensive astronomical and planetary observations."
what did tycho brahe do,Tycho was well known in his lifetime as an astronomer and alchemist .
how many seasons heroes,"Four complete seasons aired, ending on February 8, 2010."
what holiday is first weekend of september,"Labor Day is an American federal holiday observed on the first Monday in September, that celebrates the economic and social contributions of workers."
how old r Dylan and Cole Sprouse,"Dylan Thomas Sprouse and Cole Mitchell Sprouse (born August 4, 1992) are American actors."
what does life insurance cover?,"Life insurance is a contract between an insured (insurance policy holder) and an insurer , where the insurer promises to pay a designated beneficiary a sum of money (the ""benefits"") upon the death of the insured person."
what does life insurance cover?,"Depending on the contract, other events such as terminal illness or critical illness may also trigger payment."
what does life insurance cover?,"Protection policies â€“ designed to provide a benefit in the event of specified event, typically a lump sum payment."
how many days does the chinese new year last,9 â€“ 12 February (Vietnam)
what does s.h.i.e.l.d stand for,"The acronym originally stood for Supreme Headquarters, International Espionage, Law-Enforcement Division."
how many consoles has xbox 360 sold,"As of September 30, 2012, 70 million Xbox 360 consoles have been sold worldwide."
how is a backpack made,"The bag itself was made up of different animal hide and skin (depending on what sorts of animals were in the area) and sewn together by the intestines of said animals, which were woven together tightly to make a sturdy thread-like material."
WHAT COUNTRY IS MEXICO IN,"Mexico (; ; ), officially the United Mexican States (), is a federal constitutional republic in North America."
how is slugging percentage calculated,It is calculated as total bases divided by at bats :
what day is st. patricks day,"Saint Patrick's Day or the Feast of Saint Patrick (, ""the Day of the Festival of Patrick"") is a cultural and religious holiday celebrated on 17 March."
what cheese is made from goat's milk,"Goat cheese, or chÃ¨vre (from the French word for goat), is cheese made out of the milk of goats ."
what does the federal reserve do,"Its duties have expanded over the years, and today, according to official Federal Reserve documentation, include conducting the nation's monetary policy , supervising and regulating banking institutions, maintaining the stability of the financial system and providing financial services to depository institutions , the U.S. government, and foreign official institutions."
what country is belize in,"Belize , is a country located on the northeastern coast of Central America."
how many books are included in the protestant Bible?,Christian Bibles range from the sixty-six books of the Protestant canon to the eighty-one books of the Ethiopian Orthodox Tewahedo Church canon.
how many stars on the first american flag,The flag was designed during the American Revolution and features 13 stars to represent the original 13 colonies .
how does a cat purr,"However, using a strict definition of purring that continuous sound production must alternate between pulmonic egressive and ingressive airstream (and usually go on for minutes), Peters (2002), in an exhaustive review of the scientific literature, reached the conclusion that until then only â€˜purring catsâ€™ (Felidae) and two species of genets , Genetta tigrina, and most likely also Genetta genetta, had been documented to purr."
what became of rich on price is right,"Fields is currently a meteorologist for the CBS owned and operated television stations KCBS-TV and KCAL-TV in Los Angeles, California."
what became of rich on price is right,"Fields can also be heard on the radio on K-EARTH 101 KRTH , KNX-AM and KFWB in Los Angeles."
what county is St. Elizabeth MO in,"St. Elizabeth is a village in Miller County , Missouri , United States ."
what county is wilton ca in,"Wilton is a census-designated place (CDP) in Sacramento County , California , United States ."
what happened to stevie ray vaughan,"On August 27, 1990, Vaughan was killed in a helicopter crash following a performance in East Troy, Wisconsin ."
how many gold gloves does barry larkin have,"Larkin is considered one of the top players of his era, winning nine Silver Slugger awards and three Gold Glove awards ."
what caused ww,"The causes of World War I , which began in central Europe in late July 1914 and finished in 1918, included many factors, such as the conflicts and hostility of the four decades leading up to the war."
how did women's role change during the war,"Whether it was on the home front or the front-lines, for civilian or enlisted women, the World Wars started a new era for women's opportunities to contribute in war and be recognized for efforts outside of the home."
how many seasons were there of the wire,"The Wire premiered on June 2, 2002, and ended on March 9, 2008, comprising 60 episodes over five seasons."
what kind of legal remedy is it to ask someone to fulfill there promise,"The word promise can be used as a legal synonym for contract, although care is required as a promise may not have the full standing of a contract, as when it is an agreement without consideration ."
how is ASP.NET different from .NET,ASP.NET is a server-side Web application framework designed for Web development to produce dynamic Web pages .
how does lsd impact the human body,"Lysergic acid diethylamide, abbreviated LSD or LSD-25, also known as lysergide ( INN ) and colloquially as acid, is a semisynthetic psychedelic drug of the ergoline family, well known for its psychological effects which can include altered thinking processes, closed and open eye visuals, synesthesia , an altered sense of time and spiritual experiences , as well as for its key role in 1960s counterculture ."
how does lsd impact the human body,"LSD is non-addictive, is not known to cause brain damage, and has extremely low toxicity relative to dose ."
how does lsd impact the human body,"However, adverse psychiatric reactions such as anxiety, paranoia, and delusions are possible."
how many people live in memphis tennessee,"Memphis had a population of 672,277 in 2011 making it the largest city in the state of Tennessee , the largest city on the Mississippi River , the third largest in the Southeastern United States , and the 20th largest in the United States."
how many muscles in the human body,"There are approximately 642 skeletal muscles within the typical human, and almost every muscle constitutes one part of a pair of identical bilateral muscles, found on both sides, resulting in approximately 320 pairs of muscles, as presented in this article."
how did seminole war end,"Ultimately, the Spanish Crown ceded the colony to United States rule."
what county is orono maine in,"Orono is a town in Penobscot County , Maine , United States ."
what it is a pilot study,"A pilot experiment, also called a pilot study, is a small scale preliminary study conducted in order to evaluate feasibility, time, cost, adverse events, and effect size (statistical variability) in an attempt to predict an appropriate sample size and improve upon the study design prior to performance of a full-scale research project."
how many humps on a camel,"The two surviving species of camel are the dromedary , or one-humped camel, which is native to the Middle East and the Horn of Africa ; and the Bactrian , or two-humped camel, which inhabits Central Asia ."
what can be powered by wind,"Wind power is the conversion of wind energy into a useful form of energy, such as using wind turbines to make electrical power , windmills for mechanical power, wind pumps for water pumping or drainage , or sails to propel ships."
how many nature oceans are on earth,"In the context of Earth , it refers to one or all of the major divisions of the planet's World Ocean â€“ they are, in descending order of area, the Pacific , Atlantic , Indian , Southern (Antarctic) , and Arctic Oceans."
what county is jacksonville florida in,"It is the county seat of Duval County , with which the city government consolidated in 1968."
what chili wants wiki,"What Chilli Wants is an American reality series on VH1 starring Chilli , one-third of the Grammy Award -winning R&B trio TLC ."
what does a liquid oxygen plant look like,The blue color of liquid oxygen in a dewar flask
what division is boise state football,The Boise State Broncos football program represents Boise State University in college football and compete in the Football Bowl Subdivision (FBS) of Division I as a member of the Mountain West Conference .
"What does the term ""mens rea"" mean","Mens rea is Latin for ""guilty mind""."
what do UA's detect,"A drug test is a technical analysis of a biological specimen â€“ for example urine, hair, blood, sweat, or oral fluid / saliva â€“ to determine the presence or absence of specified parent drugs or their metabolites ."
how much caffeine is in a shot of espresso,"Espresso has more caffeine per unit volume than most beverages, but the usual serving size is smallerâ€”a typical 60 mL (2 US fluid ounce ) of espresso has 80 to 150 mg of caffeine, little less than the 95 to 200 mg of a standard 240 mL (8 US fluid ounces ) cup of drip-brewed coffee."
What does Human sperm consist of?,"In humans, seminal fluid contains several components besides spermatozoa: proteolytic and other enzymes as well as fructose are elements of seminal fluid which promote the survival of spermatozoa and provide a medium through which they can move or ""swim""."
how did the penguins acquire sidney crosby,Crosby was drafted first overall by the Penguins out of the Quebec Major Junior Hockey League (QMJHL).
what does add my two cents mean,"""My two cents"" (2Â¢) and its longer version ""put my two cents in"" is an United States (US) idiomatic expression, taken from the original English idiom expression: to put in ""my two pennies worth"" or ""my tuppence worth."""
how much total wealth in USA,"Including human capital such as skills, the United Nations estimated the total wealth of the United States in 2008 to be $118 trillion."
what does a plus-minus sign mean,"to indicate the precision of an approximation , or"
what does a plus-minus sign mean,to indicate a value that can be of either sign.
how was the moon formed,"The Moon is thought to have formed nearly 4.5 billion years ago, not long after the Earth."
how was the moon formed,"Although there have been several hypotheses for its origin in the past, the current most widely accepted explanation is that the Moon formed from the debris left over after a giant impact between Earth and a Mars -sized body."
what did ronald reagan do as president,"As president, Reagan implemented sweeping new political and economic initiatives."
what does judgment as a matter of law mean,"Judgment as a matter of law (JMOL) is a motion made by a party, during trial, claiming the opposing party has insufficient evidence to reasonably support its case."
how many presidents have been assassinated,"Four sitting presidents have been killed: Abraham Lincoln (the 16th President), James A. Garfield (the 20th President), William McKinley (the 25th President) and John F. Kennedy (the 35th President)."
what does oklahoma produce,"A major producer of natural gas , oil , and agriculture, Oklahoma relies on an economic base of aviation, energy, telecommunications, and biotechnology ."
how many redwall books are there,There have been twenty-two novels and two picture books published.
what date did the american civil war start,"Hostilities began on April 12, 1861, when Confederate forces fired upon Fort Sumter , a key fort held by Union troops in South Carolina."
what does bruce jenner do,"William Bruce Jenner (born October 28, 1949) is a former U.S. track and field athlete , motivational speaker , socialite , television personality and businessman ."
what does alkali do to liquids?,Some authors also define an alkali as a base that dissolves in water .
what area code is 217,Area code 217 is the North American telephone area code for much of western and central Illinois .
what area code is 217,"The 217 area includes Illinois' capital , Springfield , plus Champaign , Urbana , Decatur , Danville , Quincy , and Rantoul ."
how jameson irish whiskey is made,"Jameson is similar in its adherence to the single distillery principle to the single malt tradition, but Jameson blends column still spirit with Single pot still whiskey , a combination of malted barley with unmalted or ""green"" barley distilled in a pot still."
what does gloria in excelsis deo mean,"""Gloria in excelsis Deo"" ( Latin for ""Glory to God in the highest"") is a hymn known also as the Greater Doxology (as distinguished from the ""Minor Doxology"" or Gloria Patri ) and the Angelic Hymn."
how many grams in a troy ounce of gold,"There are 12 troy ounces per troy pound, rather than the 16 ounces per pound found in the more common avoirdupois system ."
